credit_profile_id,credit_score,total_open_accounts,past_defaults,credit_utilization_ratio,credit_history_years,inquiries_last_6_months,risk_grade
5001,310,1,0,0.72,14,4,D
5002,600,1,1,0.35,6,1,C
5003,401,3,0,0.25,16,4,D
5004,724,6,0,0.64,19,5,B
5005,691,3,0,0.52,14,2,B
5006,513,8,0,0.25,19,2,D
5007,387,2,0,0.68,3,2,D
5008,852,9,0,0.94,10,4,A
5009,700,3,0,0.74,19,3,B
5010,887,5,0,0.73,9,1,A
5011,345,8,0,0.91,13,2,D
5012,762,2,1,0.27,7,5,A
5013,891,6,0,0.58,14,5,A
5014,609,5,0,0.93,9,2,C
5015,385,9,0,0.24,19,2,D
5016,391,5,0,0.7,15,1,D
5017,541,2,0,0.6,14,2,D
5018,301,5,1,0.6,6,1,D
5019,524,4,0,0.69,4,5,D
5020,888,7,0,0.89,8,2,A
5021,415,6,0,0.77,17,4,D
5022,402,2,0,0.15,9,4,D
5023,493,5,0,0.82,1,5,D
5024,465,7,0,0.29,14,1,D
5025,389,7,0,0.42,11,4,D
5026,421,5,0,0.49,3,1,D
5027,442,9,0,0.51,9,4,D
5028,405,4,0,0.47,14,4,D
5029,727,3,1,0.9,9,1,B
5030,604,4,0,0.7,4,3,C
5031,616,5,1,0.64,4,4,C
5032,308,6,0,0.14,8,2,D
5033,372,3,0,0.87,2,5,D
5034,658,2,0,0.87,9,3,C
5035,522,4,0,0.76,14,1,D
5036,715,5,0,0.11,9,3,B
5037,852,4,0,0.15,16,0,A
5038,669,3,0,0.29,17,0,C
5039,563,8,2,0.21,16,4,D
5040,617,4,0,0.44,12,4,C
5041,383,2,0,0.88,3,2,D
5042,617,2,0,0.5,11,5,C
5043,410,1,1,0.11,14,3,D
5044,550,4,0,0.34,18,0,D
5045,682,9,0,0.14,5,4,B
5046,306,7,0,0.13,16,5,D
5047,758,7,0,0.33,5,3,A
5048,383,7,0,0.33,3,4,D
5049,507,8,1,0.77,12,4,D
5050,689,1,0,0.93,1,0,B
5051,613,8,0,0.42,9,0,C
5052,321,4,0,0.46,9,4,D
5053,709,4,0,0.82,4,1,B
5054,814,4,0,0.33,3,4,A
5055,426,6,0,0.23,17,5,D
5056,313,7,0,0.83,2,4,D
5057,311,6,0,0.14,1,2,D
5058,386,1,0,0.63,8,2,D
5059,823,8,0,0.58,13,2,A
5060,836,7,0,0.39,15,1,A
5061,600,6,1,0.37,8,1,C
5062,542,6,0,0.76,12,4,D
5063,421,5,0,0.17,12,2,D
5064,446,6,1,0.3,14,1,D
5065,866,9,0,0.72,15,0,A
5066,655,9,1,0.57,15,4,C
5067,608,8,0,0.21,9,5,C
5068,587,9,2,0.85,19,3,C
5069,606,8,0,0.43,8,4,C
5070,893,8,0,0.8,19,3,A
5071,848,1,0,0.77,6,2,A
5072,651,5,1,0.63,19,3,C
5073,611,4,1,0.52,4,2,C
5074,358,2,0,0.93,7,0,D
5075,334,8,0,0.22,4,3,D
5076,744,3,1,0.72,12,4,B
5077,392,4,0,0.26,13,2,D
5078,506,7,1,0.39,3,4,D
5079,652,9,1,0.36,12,1,C
5080,631,2,0,0.9,2,2,C
5081,458,3,0,0.92,2,3,D
5082,323,4,0,0.26,9,2,D
5083,703,1,0,0.12,1,4,B
5084,815,7,1,0.71,8,0,A
5085,663,2,0,0.46,6,2,C
5086,681,5,1,0.18,6,3,B
5087,831,1,0,0.68,18,1,A
5088,451,3,2,0.56,17,5,D
5089,861,2,0,0.93,12,0,A
5090,719,1,0,0.29,6,1,B
5091,549,7,0,0.44,8,2,D
5092,416,5,0,0.56,19,4,D
5093,811,1,0,0.77,10,4,A
5094,877,6,1,0.57,1,3,A
5095,634,5,0,0.62,13,4,C
5096,717,3,0,0.29,17,0,B
5097,594,7,0,0.82,3,4,C
5098,670,9,0,0.46,8,3,C
5099,485,9,0,0.22,14,5,D
5100,545,9,2,0.66,3,2,D
5101,567,2,2,0.28,16,2,D
5102,536,3,1,0.18,13,4,D
5103,829,7,1,0.83,17,1,A
5104,851,5,0,0.49,13,2,A
5105,320,2,0,0.74,6,5,D
5106,819,3,0,0.35,17,4,A
5107,399,6,1,0.77,14,3,D
5108,777,7,0,0.2,17,5,A
5109,898,9,0,0.4,8,4,A
5110,597,1,0,0.93,11,5,C
5111,825,7,0,0.77,1,2,A
5112,633,8,1,0.52,7,3,C
5113,301,3,1,0.39,17,4,D
5114,674,4,0,0.84,10,0,B
5115,592,6,2,0.56,11,3,C
5116,852,7,0,0.74,9,0,A
5117,617,4,0,0.74,9,5,C
5118,801,8,0,0.12,5,1,A
5119,680,5,0,0.21,17,3,B
5120,313,1,0,0.66,9,5,D
5121,803,4,2,0.24,17,0,A
5122,530,3,0,0.32,19,2,D
5123,383,9,1,0.9,7,2,D
5124,429,8,0,0.58,9,1,D
5125,444,1,0,0.74,7,3,D
5126,327,6,0,0.57,13,3,D
5127,365,9,0,0.57,11,3,D
5128,462,7,0,0.18,14,5,D
5129,528,4,1,0.39,19,1,D
5130,560,1,0,0.34,11,3,D
5131,748,2,0,0.43,13,5,B
5132,723,5,0,0.78,14,2,B
5133,759,5,0,0.42,13,0,A
5134,600,8,0,0.48,1,5,C
5135,602,6,0,0.44,8,2,C
5136,586,8,0,0.18,12,2,C
5137,694,2,0,0.47,19,0,B
5138,309,3,0,0.27,12,2,D
5139,569,6,0,0.26,8,1,D
5140,891,3,0,0.18,8,0,A
