loan_id,customer_id,credit_profile_id,loan_amount,interest_rate,tenure_months,emi,disbursal_date,dti_ratio,default_flag,loan_status,total_paid_amount,outstanding_amount,days_past_due
20213,1002,5160,279577,9.04,24,12777.53,25-06-2024,0.08,0,Active,117180.53,162396.47,8
20182,1003,5156,331696,10.81,12,29286.45,09-04-2022,0.24,1,Default,185288.78,146407.22,167
20034,1004,5138,1445796,12.27,24,68241.08,21-08-2022,0.38,1,Default,916245.96,529550.04,172
20179,1007,5036,142036,12.1,24,6692.76,25-09-2024,0.04,0,Active,112407.81,29628.19,4
20267,1007,5056,939493,15.77,12,85138.78,07-08-2023,0.47,1,Default,698422.23,241070.77,160
20038,1008,5205,912147,16.65,12,83040.71,16-04-2022,0.45,0,Active,765338.49,146808.51,8
20068,1008,5105,752495,15.87,12,68228.23,03-11-2023,0.37,1,Default,491576.03,260918.97,38
20178,1008,5074,634010,8.13,12,55189.65,14-07-2022,0.3,1,Default,538700.09,95309.91,154
20285,1008,5206,651160,10.01,12,57250.34,03-05-2022,0.31,1,Default,257810.43,393349.57,144
20015,1010,5056,736268,17.11,36,26290.29,18-05-2024,0.19,1,Default,588679.68,147588.32,92
20122,1011,5064,1433875,13.82,48,39053.4,10-05-2024,0.63,1,Default,1185798.24,248076.76,135
20040,1012,5200,161435,16.6,36,5723.51,07-03-2024,0.26,0,Active,83774.01,77660.99,8
20225,1012,5113,548682,11.87,24,25795.07,17-10-2023,1.16,1,Default,280229.83,268452.17,133
20271,1012,5076,1460295,15.87,24,71409.91,23-01-2023,3.2,1,Default,1106973.34,353321.66,102
20117,1013,5016,387369,12.14,24,18260.14,17-05-2022,0.76,1,Default,97989.94,289379.06,121
20154,1013,5247,313625,15.73,60,7581.83,12-08-2024,0.31,1,Default,185075.57,128549.43,70
20197,1013,5121,620508,12.46,48,16480.85,11-02-2022,0.68,1,Default,355031.54,265476.46,125
20209,1013,5155,824504,16.42,36,29158.37,23-04-2024,1.21,1,Default,220151.09,604352.91,116
20023,1014,5022,187686,16.85,60,4649.36,21-09-2023,0.03,1,Default,74691.67,112994.33,147
20161,1016,5228,1425607,16.86,24,70389.38,28-04-2023,0.38,0,Active,424430.59,1001176.41,5
20241,1016,5114,904568,13.89,24,43383.93,19-03-2023,0.24,0,Active,535127.77,369440.23,7
20272,1016,5026,838245,15.74,24,40939.02,27-06-2023,0.22,1,Default,592608.02,245636.98,33
20123,1017,5187,383713,9.18,60,7998.81,06-07-2024,0.05,1,Default,287190.02,96522.98,53
20224,1017,5099,1388950,15.13,60,33137.88,03-01-2022,0.2,1,Default,664972.95,723977.05,116
20060,1018,5174,1234789,10.1,36,39901.17,29-03-2022,0.25,1,Default,482882.76,751906.24,140
20181,1018,5220,903392,8.16,48,22122.35,27-09-2023,0.14,0,Active,331906.02,571485.98,4
20004,1019,5079,464170,14.71,60,10972.04,04-09-2024,0.56,1,Default,390123.79,74046.21,108
20001,1021,5226,457085,17.96,36,16515.55,01-04-2024,0.09,1,Default,198925.65,258159.35,159
20129,1021,5101,862832,11.36,36,28395.34,06-06-2023,0.15,1,Default,649405.85,213426.15,104
20194,1021,5022,451062,10.32,48,11509.54,25-06-2023,0.06,1,Default,394040.1,57021.9,156
20031,1022,5185,1320459,17.88,60,33444.84,14-08-2023,0.37,0,Active,868028.08,452430.92,6
20011,1023,5104,1452222,8.3,36,45708.61,30-07-2023,1.05,1,Default,868320.46,583901.54,41
20113,1023,5156,1190844,15.89,36,41801.9,20-01-2022,0.96,1,Default,307135.13,883708.87,140
20120,1024,5048,179887,9.21,60,3752.52,27-01-2022,0.04,1,Default,109651,70236,135
